organ	country	month_day	avg_2019	avg_2020	ratio
heart	Austria	06-14	0.226	0.181	1.251
heart	Austria	06-15	0.226	0.178	1.27
heart	Austria	06-16	0.225	0.175	1.29
heart	Austria	06-17	0.225	0.171	1.312
heart	Austria	06-18	0.224	0.168	1.335
heart	Austria	06-19	0.223	0.164	1.358
heart	Austria	06-20	0.222	0.161	1.382
heart	Austria	06-21	0.221	0.157	1.405
heart	Austria	06-22	0.22	0.154	1.43
heart	Austria	06-23	0.219	0.15	1.457
heart	Austria	06-24	0.217	0.146	1.486
heart	Austria	06-25	0.215	0.142	1.518
heart	Austria	06-26	0.213	0.138	1.552
heart	Austria	06-27	0.212	0.133	1.589
heart	Austria	06-28	0.21	0.129	1.627
heart	Austria	06-29	0.208	0.125	1.667
heart	Austria	06-30	0.206	0.121	1.707
heart	Austria	07-01	0.204	0.117	1.748
heart	Austria	07-02	0.202	0.113	1.792
heart	Austria	07-03	0.2	0.109	1.841
heart	Austria	07-04	0.198	0.105	1.895
heart	Austria	07-05	0.196	0.1	1.955
heart	Austria	07-06	0.194	0.096	2.02
heart	Austria	07-07	0.191	0.092	2.088
heart	Austria	07-08	0.189	0.088	2.159
heart	Austria	07-09	0.187	0.084	2.23
heart	Austria	07-10	0.185	0.081	2.299
heart	Austria	07-11	0.183	0.077	2.368
